"Intercept" "Hispanic" "Black" "Asian" "White" "Native" "q_2" "q_3" "q_4" "q_5" "householdincome" "education" "date_since_social" "date_since" "beds"
"03-29" 1.53303906949902e-11 0.819399228148052 0.0459699441689821 0.0224128355783917 0.562285197609207 0.660653011789494 0.38680333217969 0.0902075283948745 0.0424107113062147 0.049200186209783 0.302672731910673 0.557166108973036 0.00713093324632003 3.1109558040144e-13 0.0234946648108914
"04-05" 2.61208118842765e-20 0.435116977782168 0.00453089432592628 0.0225061229175121 0.175584983103852 0.0646785922078566 0.164079309912013 0.00170367339555162 0.000874958237856244 0.00575306637748146 0.000710494518747309 0.0633981700294992 0.00599649419068954 8.38399902873731e-25 0.378385811514689
"04-12" 1.44609734601302e-21 0.12579459467238 0.00286480789168782 0.0127698597686788 0.189272003597169 0.0624810034491115 0.196495770677046 0.00153716573517901 4.47210514182217e-05 0.00300559724975588 2.05073350034114e-05 0.0492758595606062 0.0290471488517391 2.21811495750325e-33 0.521317809093052
"04-19" 3.55527161102257e-26 0.0600966534083446 0.000146255228987347 0.000929841006184082 0.0607051318227583 0.00147365970634577 0.0772718529210579 0.00173460239257756 4.83446290580678e-06 0.00258037340540631 8.71198134831806e-06 0.00353098658689052 0.0578848882007114 3.21593716277753e-37 0.107781617438517
"04-26" 4.95776885309299e-29 0.0126562909665584 1.47150169932056e-06 0.000208125847482251 0.00631898497166036 0.000134897006073749 0.355040561093104 0.0344425427290965 0.000540561905686407 0.0301642555448154 3.81424780794849e-07 0.000465819472058244 0.0662717882046347 3.14085884003743e-35 0.624749921715859
"05-03" 9.48563279262247e-30 0.00698825695663633 9.64854008425242e-07 0.00021558607333855 0.00705818288926143 0.000190515274538476 0.584550022594313 0.232580215421967 0.00359736175084502 0.156099999694041 9.35010872039768e-08 0.000356899766899887 0.088295772125419 7.47775450835857e-36 0.803981915370339
"05-05" 4.82764490802903e-27 0.00350394715422439 4.13486312638655e-06 0.000451581139870003 0.0139587747984463 0.000338152415364258 0.401537291265667 0.181878358453135 0.00116373092989128 0.0849566134587223 8.50137462034398e-08 0.000328089235551853 0.0889071229260369 4.27222758076948e-37 0.907263746135596
"05-12" 5.33098401303938e-29 0.000672901970192984 6.16449180317078e-07 0.00203142503283598 0.0135422032665055 2.47160719970386e-05 0.152692419233662 0.0577183621012284 0.921922926439145 0.161337246088034 1.67587541491023e-08 0.00778979777416786 0.0943992064396751 9.56099171173768e-15 0.802160793798401
"05-19" 1.35342372673424e-29 0.000280429873942734 6.56064912857441e-07 0.00565723997574968 0.0199999879874388 2.59463671826688e-05 0.0416104586375976 0.0100721420132806 0.591482204389923 0.0595114216456453 3.12669097795059e-08 0.00211550918229183 0.0890333624775851 3.2199414760213e-14 0.690089530418549
"05-26" 1.09546219833494e-27 0.000598787360740616 3.02143292506533e-06 0.0099509369727464 0.0454537629174835 7.93531465927023e-05 0.0506977024864452 0.00948296898664189 0.367743687979792 0.0377032448575098 1.23201847158841e-07 0.00101952949855573 0.158223451249111 5.86905221408681e-14 0.784186095491456
"06-02" 0 0 0 0 0 0 0 0 7.79040497652543e-30 0 0 8.4113563150759e-216 1.6090456483155e-277 0 0.0625049830999414
"06-09" 2.17901462389916e-22 0.0101536253396981 0.00219533082753221 0.204061558068454 0.975557765144297 0.0179817069857949 0.128671906952833 0.020312700640994 0.471970219171873 0.0444840903911746 1.87871894773977e-06 0.000906243632415027 0.305883477970723 3.08541673347983e-11 0.849217711994751
"06-16" 8.06382013479691e-24 0.00531334568359519 0.00147238558997101 0.182404042999194 0.938734766465878 0.0122396882083566 0.234951167578962 0.0224843014002348 0.576625359340714 0.0584461317284229 2.66043665665672e-06 0.000350503374176773 0.309978784989533 1.2834432127703e-10 0.770222240729928
