county_fips,State,County,Z-Score,Rank,Z-Score,Rank,
36000,New York,,,,,0,
36001,New York,Albany,-0.16,25,-0.47,10,
36003,New York,Allegany,0.42,47,0.39,52,
36005,New York,Bronx,1.53,62,1.45,62,
36007,New York,Broome,0.67,52,0.11,37,
36009,New York,Cattaraugus,0.88,57,0.60,59,
36011,New York,Cayuga,-0.30,20,0.10,35,
36013,New York,Chautauqua,1.23,61,0.43,54,
36015,New York,Chemung,0.70,53,0.26,47,
36017,New York,Chenango,0.60,50,0.15,39,
36019,New York,Clinton,-0.05,29,0.09,34,
36021,New York,Columbia,-0.20,24,-0.31,15,
36023,New York,Cortland,0.26,39,0.00,30,
36025,New York,Delaware,0.18,33,0.21,41,
36027,New York,Dutchess,-0.39,17,-0.35,12,
36029,New York,Erie,0.83,56,0.21,43,
36031,New York,Essex,-0.86,9,-0.34,13,
36033,New York,Franklin,-0.08,28,0.53,57,
36035,New York,Fulton,0.38,46,0.55,58,
36037,New York,Genesee,0.37,45,-0.10,22,
36039,New York,Greene,0.62,51,0.21,42,
36041,New York,Hamilton,-0.57,12,-0.33,14,
36043,New York,Herkimer,0.29,42,0.29,48,
36045,New York,Jefferson,0.06,31,0.30,49,
36047,New York,Kings,-0.50,15,0.42,53,
36049,New York,Lewis,0.21,36,0.22,44,
36051,New York,Livingston,-0.25,23,-0.10,23,
36053,New York,Madison,-0.86,8,-0.14,18,
36055,New York,Monroe,0.19,35,-0.09,25,
36057,New York,Montgomery,0.97,59,0.68,61,
36059,New York,Nassau,-1.55,1,-1.17,1,
36061,New York,New York,-0.99,6,-0.46,11,
36063,New York,Niagara,0.89,58,0.45,55,
36065,New York,Oneida,0.75,55,0.19,40,
36067,New York,Onondaga,0.31,43,-0.11,21,
36069,New York,Ontario,-0.56,13,-0.56,8,
36071,New York,Orange,-0.63,11,-0.09,26,
36073,New York,Orleans,0.74,54,0.37,50,
36075,New York,Oswego,0.59,49,0.64,60,
36077,New York,Otsego,-0.30,19,-0.25,17,
36079,New York,Putnam,-1.24,4,-0.87,2,
36081,New York,Queens,-0.89,7,-0.12,20,
36083,New York,Rensselaer,0.17,32,-0.27,16,
36085,New York,Richmond,-0.28,21,-0.12,19,
36087,New York,Rockland,-1.32,3,-0.62,7,
36089,New York,St. Lawrence,0.33,44,0.47,56,
36091,New York,Saratoga,-1.45,2,-0.78,4,
36093,New York,Schenectady,0.25,38,-0.09,24,
36095,New York,Schoharie,-0.27,22,0.01,31,
36097,New York,Schuyler,0.18,34,0.24,46,
36099,New York,Seneca,0.53,48,0.23,45,
36101,New York,Steuben,0.25,37,0.10,36,
36103,New York,Suffolk,-0.52,14,-0.66,6,
36105,New York,Sullivan,1.11,60,0.38,51,
36107,New York,Tioga,-0.48,16,-0.06,27,
36109,New York,Tompkins,-0.65,10,-0.68,5,
36111,New York,Ulster,0.04,30,-0.04,29,
36113,New York,Warren,-0.14,26,-0.49,9,
36115,New York,Washington,0.29,41,0.14,38,
36117,New York,Wayne,0.26,40,0.06,33,
36119,New York,Westchester,-1.13,5,-0.81,3,
36121,New York,Wyoming,-0.36,18,-0.04,28,
36123,New York,Yates,-0.08,27,0.01,32,
,,,,,,,
