county_fips,State,County,Length of Life,Rank1,Quality of Life,Rank2,Health Behaviors,Rank3,Clinical Care,Rank4,Social and Economic Factors,Rank5,Physical Environment,Rank6,
36000,New York,,,,,,,,,,,,,,
36001,New York,Albany,-0.31,15,0.15,44,-0.08,18,-0.15,5,-0.26,8,0.02,39,
36003,New York,Allegany,0.38,49,0.03,34,0.15,46,0.09,50,0.14,48,0.01,34,
36005,New York,Bronx,0.11,36,1.42,62,0.12,43,0.35,62,0.93,62,0.05,57,
36007,New York,Broome,0.44,51,0.22,49,0.03,32,-0.08,17,0.18,50,-0.03,17,
36009,New York,Cattaraugus,0.37,47,0.51,60,0.17,49,0.16,58,0.23,55,0.04,52,
36011,New York,Cayuga,0.00,26,-0.29,13,0.06,35,0.03,40,0.04,38,-0.04,14,
36013,New York,Chautauqua,0.72,60,0.51,61,0.20,55,-0.06,20,0.25,56,0.04,56,
36015,New York,Chemung,0.71,59,-0.01,29,0.19,53,-0.09,14,0.20,51,-0.05,7,
36017,New York,Chenango,0.66,56,-0.06,25,0.10,41,-0.01,29,0.10,46,-0.04,11,
36019,New York,Clinton,-0.12,22,0.06,38,0.15,45,0.02,38,0.01,28,-0.09,1,
36021,New York,Columbia,0.17,38,-0.37,7,-0.17,11,0.05,43,-0.16,14,-0.03,16,
36023,New York,Cortland,0.26,43,0.00,31,0.07,38,-0.09,13,0.03,33,0.00,29,
36025,New York,Delaware,0.18,39,0.00,32,-0.02,27,0.06,44,0.21,53,-0.05,10,
36027,New York,Dutchess,-0.34,13,-0.05,28,-0.11,17,-0.05,24,-0.26,9,0.07,60,
36029,New York,Erie,0.33,46,0.49,59,0.18,51,-0.08,16,0.04,36,0.07,61,
36031,New York,Essex,-0.57,9,-0.29,14,-0.18,10,-0.07,19,-0.05,24,-0.04,13,
36033,New York,Franklin,-0.25,18,0.17,46,0.35,62,0.00,31,0.26,58,-0.07,2,
36035,New York,Fulton,0.11,35,0.27,54,0.24,58,0.09,52,0.26,57,-0.04,12,
36037,New York,Genesee,0.68,58,-0.31,12,0.13,44,-0.01,30,-0.19,10,-0.02,21,
36039,New York,Greene,0.67,57,-0.05,27,-0.05,23,0.12,56,0.10,45,0.03,49,
36041,New York,Hamilton,0.00,27,-0.57,2,-0.25,8,-0.07,18,0.06,40,-0.07,3,
36043,New York,Herkimer,0.03,30,0.26,52,0.19,54,0.03,39,0.08,42,-0.01,25,
36045,New York,Jefferson,0.03,29,0.03,35,0.30,60,-0.06,21,0.08,43,-0.02,22,
36047,New York,Kings,-0.64,8,0.15,42,-0.15,12,0.27,60,0.27,59,0.03,46,
36049,New York,Lewis,0.22,41,0.00,30,0.21,56,0.00,34,0.04,37,-0.03,18,
36051,New York,Livingston,-0.14,21,-0.11,21,0.00,29,0.04,42,-0.16,13,0.03,45,
36053,New York,Madison,-0.49,11,-0.37,8,-0.06,21,-0.02,28,-0.07,22,0.00,33,
36055,New York,Monroe,-0.01,24,0.21,47,-0.01,28,-0.08,15,0.02,32,-0.02,20,
36057,New York,Montgomery,0.56,54,0.41,58,0.17,48,0.17,59,0.32,61,0.02,42,
36059,New York,Nassau,-1.03,3,-0.52,4,-0.49,1,-0.19,2,-0.51,2,0.03,47,
36061,New York,New York,-1.20,1,0.21,48,-0.30,7,-0.18,3,0.02,31,0.00,32,
36063,New York,Niagara,0.58,55,0.32,55,0.17,50,0.09,53,0.15,49,0.04,50,
36065,New York,Oneida,0.37,48,0.37,57,0.18,52,-0.03,27,0.09,44,-0.05,6,
36067,New York,Onondaga,0.07,34,0.24,51,0.05,34,-0.13,7,-0.02,25,0.00,31,
36069,New York,Ontario,-0.14,20,-0.42,6,-0.12,16,-0.13,8,-0.33,4,0.02,37,
36071,New York,Orange,-0.29,17,-0.34,10,-0.05,22,0.01,37,-0.12,18,0.06,59,
36073,New York,Orleans,0.51,53,0.23,50,0.21,57,0.15,57,0.03,35,-0.01,23,
36075,New York,Oswego,0.44,50,0.15,45,0.33,61,0.00,32,0.29,60,0.02,40,
36077,New York,Otsego,-0.10,23,-0.21,16,0.01,30,-0.10,12,-0.10,20,-0.05,5,
36079,New York,Putnam,-0.78,6,-0.46,5,-0.34,4,-0.06,22,-0.50,3,0.02,41,
