"Intercept" "Black" "q_2" "q_3" "q_4" "q_5" "householdincome" "education" "beds" "obesity" "COPD" "age65" "diabetic"
"AL" 3.07802090897606e-28 8.96103474788571e-05 0.539956950606243 0.301536706693327 0.0275082439627282 0.0835296646989024 0.888312513885325 0.0421393591029383 0.0368695293695676 0.674714080642872 0.423883156365212 0.78731428569799 0.0595267602805159
"AR" 9.00068551112076e-34 0.000682157167533951 0.654960368193856 0.355691542765948 0.825173418380289 0.166100489880114 0.548253842124625 0.0933308800218879 0.0235559426337205 0.289447213903426 0.491542267277901 0.587216776375962 0.0899182610085183
"AZ" 8.77272276675964e-30 0.580316811945927 0.302243028852307 0.126567323201409 0.717131262360001 0.724026768884591 0.778961816153591 0.132630587751592 3.77342835271205e-07 0.812415868102127 0.000624827205148397 0.00113402895678274 0.0567086149192541
"CA" 2.20845763885182e-26 0.18406938773405 0.167914720761995 0.094126460979916 0.18828859971576 0.118588170849717 0.164804975293108 0.00944826135407142 0.791449840531106 0.756839519304931 0.80789647450041 0.79402468403689 0.00218222321476573
"CT" NA NA NA NA NA NA NA NA NA NA NA NA NA
"CO" 8.36611103189192e-158 0.722525333855486 0.720101699699698 0.130464081640638 0.150272293693869 0.0147469090164253 0.799521653804427 0.273964379931896 0.0704845011414517 0.285853526139021 0.115222603989574 0.193400314983171 0.265321393097316
"DE" NA NA NA NA NA NA NA NA NA NA NA NA NA
"FL" 1.57818889547373e-12 0.238013702440684 0.730362830319235 0.367236163309128 0.926188885303938 0.852874202155058 0.502835118546973 0.164427868923932 0.167397750487521 0.168210892512748 0.774040060978449 0.40772697370413 0.0209960955342763
"GA" 9.79515928562339e-43 1.92225542944777e-05 0.404687698170245 0.892969497589868 0.735715287651522 0.967337952670992 0.502940915371294 0.780606193809921 0.9215366694895 0.242691961834996 0.233852848487958 0.162807039331605 0.581854670108156
"IA" 5.92817570400488e-25 0.204608090137462 0.0576265443546977 0.164452414942108 0.0731833741531134 0.0245680495796609 0.451399138285564 0.123770933518579 0.0255815563691481 0.26421826504244 0.547852580294757 0.18172396452544 0.868063423659178
"ID" 0.999997185584782 0.0166738194121961 0.999997697168896 0.999997891827666 0.999997845213502 0.99999772569395 0.0977254091569489 0.0618957594057381 0.00519743831677399 0.128772280489728 0.761110666059977 0.355612793825999 0.00489887071651955
"IL" 0.999998526560928 0.0933275162405928 0.999998888311436 0.999998828862336 0.999998850970245 0.999998840339401 0.00567580247248542 0.0709907815542399 0.334813779175844 0.094686530990525 0.225135608485542 0.182710764253825 0.000902147423790562
"IN" NA NA NA NA NA NA NA NA NA NA NA NA NA
