"County","Sample Size","Est. Count","Est. Denominator","Crude Rate","CL 95% Lower, Crude","CL 95% Upper, Crude","Age-adjusted Rate","CL 95% Lower, Age-adjusted","CL 95% Upper, Age-adjusted","Notes","Health Domain","Health Indicator","Prevention Agenda (PA)","PA Rate Type","SHIP","SHIP Rate Type","DSRIP","DSRIP Rate Type","CHIRS","CHIRS Rate Type","FIPS","Health Indicator Sort Key","DSRIP Region Sort Key","Upstate/Downstate Sort Key","County Sort Key","Location"
"Columbia",480,3075,50039,6.1,3.8,8.5,4,2.5,5.4,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,21,67,104,NA,11,"(42.276913, -73.682168)"
"Greene",407,3151,38998,8.1,4.9,11.2,6.6,3.8,9.4,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,39,67,104,NA,20,"(42.298326, -73.973376)"
"Putnam",488,3756,78787,4.8,2.3,7.2,4.2,2.1,6.3,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,79,67,103,NA,40,"(41.41131, -73.717443)"
"Erie",803,54529,733956,7.4,5.1,9.7,7.1,4.6,9.6,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,29,67,111,NA,15,"(42.888143, -78.795544)"
"Warren",565,3116,52316,6,3.7,8.2,5.4,3.1,7.8,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,113,67,106,NA,57,"(43.403024, -73.716044)"
"Steuben",447,7062,75453,9.4,6.5,12.2,7.7,5.4,9.9,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,101,67,110,NA,51,"(42.270053, -77.324618)"
"Cortland",477,2223,38584,5.8,3.8,7.8,6,3.8,8.2,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,23,67,108,NA,12,"(42.597101, -76.143291)"
"Schuyler",408,1334,14560,9.2,4.5,13.8,9.2,3,15.5,"unreliable age-adjusted rate due to large standard error","Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,97,67,110,NA,49,"(42.38593, -76.872032)"
"Yates",380,1099,19264,5.7,2.5,8.9,4.2,1.9,6.6,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,123,67,110,NA,62,"(42.634338, -77.078311)"
"Oswego",484,11242,94054,12,8.1,15.8,12,7.9,16.2,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,75,67,108,NA,38,"(43.39123, -76.31133)"
