"CTYNAME","Pop","GrowthRate"
"Kings County",2582830,"2.9066"
"Queens County",2278906,"1.9761"
"New York County",1628701,"2.5140"
"Suffolk County",1481093,"-0.8895"
"Bronx County",1432132,"3.2277"
"Nassau County",1358343,"1.2414"
"Westchester County",967612,"1.7863"
"Erie County",919719,"0.0627"
"Monroe County",742474,"-0.2847"
"Richmond County",476179,"1.3964"
"Onondaga County",461809,"-1.2230"
"Orange County",381951,"2.2755"
"Rockland County",325695,"4.2217"
"Albany County",307117,"0.9994"
"Dutchess County",293718,"-1.3479"
"Saratoga County",230163,"4.5696"
"Oneida County",229577,"-2.2090"
"Niagara County",210433,"-2.7929"
"Broome County",191659,"-4.3990"
"Ulster County",178599,"-2.0887"
"Rensselaer County",159442,"0.0634"
"Schenectady County",155350,"0.3138"
"Chautauqua County",127939,"-5.0369"
"Oswego County",117898,"-3.4739"
"Jefferson County",111755,"-4.1503"
"Ontario County",109864,"1.5717"
"St. Lawrence County",108047,"-3.3664"
"Tompkins County",102793,"1.0499"
"Putnam County",98892,"-0.7716"
"Steuben County",95796,"-3.2481"
"Wayne County",90064,"-3.9338"
"Chemung County",84254,"-5.2240"
"Clinton County",80695,"-1.7053"
"Cayuga County",77145,"-3.4493"
"Cattaraugus County",76840,"-4.2254"
"Sullivan County",75498,"-2.5543"
"Madison County",70795,"-3.6016"
"Warren County",64265,"-2.1395"
"Livingston County",63227,"-3.0840"
"Herkimer County",61833,"-4.0769"
"Washington County",61197,"-3.3879"
"Columbia County",59916,"-4.9345"
"Otsego County",59749,"-4.0300"
"Genesee County",57511,"-4.0524"
"Fulton County",53591,"-3.3735"
"Franklin County",50293,"-2.6311"
"Montgomery County",49455,"-1.6799"
"Tioga County",48560,"-4.8048"
"Cortland County",47823,"-2.9625"
"Chenango County",47536,"-5.6844"
"Greene County",47491,"-3.3479"
"Allegany County",46430,"-5.1714"
"Delaware County",44527,"-7.0204"
"Orleans County",40612,"-5.2052"
"Wyoming County",40085,"-4.8337"
"Essex County",37300,"-5.2097"
"Seneca County",34300,"-2.7254"
"Schoharie County",31097,"-4.8789"
"Lewis County",26447,"-2.3303"
"Yates County",24841,"-2.1044"
"Schuyler County",17912,"-2.2591"
"Hamilton County",4434,"-8.5962"
