Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, and COVID-19 Deaths",Footnote
5/1/2020,2/1/2020,4/25/2020,United States,All Sexes,Under 1 year,4,3725,34,1,11,48,
5/1/2020,2/1/2020,4/25/2020,United States,All Sexes,1-4 years,2,723,33,2,30,63,
5/1/2020,2/1/2020,4/25/2020,United States,All Sexes,5-14 years,3,1072,37,0,40,80,
5/1/2020,2/1/2020,4/25/2020,United States,All Sexes,15-24 years,42,6385,133,16,41,197,
5/1/2020,2/1/2020,4/25/2020,United States,All Sexes,25-34 years,278,13532,458,117,130,737,
5/1/2020,2/1/2020,4/25/2020,United States,All Sexes,35-44 years,707,19539,1036,278,206,1648,
5/1/2020,2/1/2020,4/25/2020,United States,All Sexes,45-54 years,1929,37899,2675,792,513,4235,
5/1/2020,2/1/2020,4/25/2020,United States,All Sexes,55-64 years,4688,91146,7820,2065,1083,11336,
5/1/2020,2/1/2020,4/25/2020,United States,All Sexes,65-74 years,8001,141556,13408,3544,1274,18938,
5/1/2020,2/1/2020,4/25/2020,United States,All Sexes,75-84 years,10196,177917,17804,4648,1308,24500,
5/1/2020,2/1/2020,4/25/2020,United States,All Sexes,85 years and over,11458,225944,20944,5101,1210,28383,
5/1/2020,2/1/2020,4/25/2020,United States,All Sexes Total,All Ages,37308,719438,64382,16564,5846,90165,
5/1/2020,2/1/2020,4/25/2020,United States,Male,Under 1 year,2,2038,22,1,5,28,
5/1/2020,2/1/2020,4/25/2020,United States,Male,1-4 years,1,404,18,1,16,34,
5/1/2020,2/1/2020,4/25/2020,United States,Male,5-14 years,3,623,17,0,16,36,
5/1/2020,2/1/2020,4/25/2020,United States,Male,15-24 years,28,4705,84,11,22,120,
5/1/2020,2/1/2020,4/25/2020,United States,Male,25-34 years,193,9385,284,89,68,448,
5/1/2020,2/1/2020,4/25/2020,United States,Male,35-44 years,511,12697,654,205,111,1054,
