series_id,year,period,value
LAUST010000000000003,2018,M01,4.3
LAUST010000000000003,2018,M02,4.4
LAUST010000000000003,2018,M03,4.0
LAUST010000000000003,2018,M04,3.5
LAUST010000000000003,2018,M05,3.5
LAUST010000000000003,2018,M06,4.6
LAUST010000000000003,2018,M07,4.2
LAUST010000000000003,2018,M08,4.0
LAUST010000000000003,2018,M09,3.6
LAUST010000000000003,2018,M10,3.6
LAUST010000000000003,2018,M11,3.3
LAUST010000000000003,2018,M12,3.5
LAUST010000000000003,2018,M13,3.9
LAUST010000000000003,2019,M01,4.2
LAUST010000000000003,2019,M02,3.8
LAUST010000000000003,2019,M03,3.4
LAUST010000000000003,2019,M04,2.6
LAUST010000000000003,2019,M05,2.5
LAUST010000000000003,2019,M06,3.3
LAUST010000000000003,2019,M07,3.1
LAUST010000000000003,2019,M08,3.0
LAUST010000000000003,2019,M09,2.6
LAUST010000000000003,2019,M10,2.5
LAUST010000000000003,2019,M11,2.4
LAUST010000000000003,2019,M12,2.5
LAUST010000000000003,2019,M13,3.0
LAUST010000000000003,2020,M01,3.2
LAUST010000000000003,2020,M02,2.9
LAUST010000000000003,2020,M03,3.3
LAUST010000000000004,2018,M01,94618
LAUST010000000000004,2018,M02,96088
LAUST010000000000004,2018,M03,88878
LAUST010000000000004,2018,M04,76365
LAUST010000000000004,2018,M05,77236
LAUST010000000000004,2018,M06,101937
LAUST010000000000004,2018,M07,93772
LAUST010000000000004,2018,M08,89366
LAUST010000000000004,2018,M09,79753
LAUST010000000000004,2018,M10,80638
LAUST010000000000004,2018,M11,73527
LAUST010000000000004,2018,M12,77201
LAUST010000000000004,2018,M13,85782
LAUST010000000000004,2019,M01,93307
LAUST010000000000004,2019,M02,85826
LAUST010000000000004,2019,M03,77314
LAUST010000000000004,2019,M04,58992
LAUST010000000000004,2019,M05,55339
LAUST010000000000004,2019,M06,73570
LAUST010000000000004,2019,M07,69916
LAUST010000000000004,2019,M08,66431
LAUST010000000000004,2019,M09,57536
LAUST010000000000004,2019,M10,57113
LAUST010000000000004,2019,M11,54861
LAUST010000000000004,2019,M12,56967
LAUST010000000000004,2019,M13,67264
LAUST010000000000004,2020,M01,72293
LAUST010000000000004,2020,M02,64214
LAUST010000000000004,2020,M03,73858
LAUST010000000000005,2018,M01,2082454
LAUST010000000000005,2018,M02,2109670
LAUST010000000000005,2018,M03,2122542
LAUST010000000000005,2018,M04,2133437
LAUST010000000000005,2018,M05,2134675
LAUST010000000000005,2018,M06,2132456
LAUST010000000000005,2018,M07,2136474
LAUST010000000000005,2018,M08,2118755
LAUST010000000000005,2018,M09,2132414
LAUST010000000000005,2018,M10,2153796
LAUST010000000000005,2018,M11,2159837
LAUST010000000000005,2018,M12,2153634
LAUST010000000000005,2018,M13,2130845
LAUST010000000000005,2019,M01,2134636
LAUST010000000000005,2019,M02,2157859
LAUST010000000000005,2019,M03,2168869
LAUST010000000000005,2019,M04,2177000
LAUST010000000000005,2019,M05,2176975
LAUST010000000000005,2019,M06,2172460
LAUST010000000000005,2019,M07,2175558
LAUST010000000000005,2019,M08,2169211
LAUST010000000000005,2019,M09,2180225
LAUST010000000000005,2019,M10,2195676
LAUST010000000000005,2019,M11,2194914
LAUST010000000000005,2019,M12,2190412
LAUST010000000000005,2019,M13,2174483
LAUST010000000000005,2020,M01,2154610
LAUST010000000000005,2020,M02,2166736
LAUST010000000000005,2020,M03,2131621
LAUST010000000000006,2018,M01,2177072
LAUST010000000000006,2018,M02,2205758
LAUST010000000000006,2018,M03,2211420
LAUST010000000000006,2018,M04,2209802
LAUST010000000000006,2018,M05,2211911
LAUST010000000000006,2018,M06,2234393
LAUST010000000000006,2018,M07,2230246
LAUST010000000000006,2018,M08,2208121
LAUST010000000000006,2018,M09,2212167
LAUST010000000000006,2018,M10,2234434
LAUST010000000000006,2018,M11,2233364
LAUST010000000000006,2018,M12,2230835
LAUST010000000000006,2018,M13,2216627
LAUST010000000000006,2019,M01,2227943
LAUST010000000000006,2019,M02,2243685
LAUST010000000000006,2019,M03,2246183
