FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
36000,New York,,191428,5456,5420,5493,,,,,,,,,,,,,,,,,17,16,18,,3.5,3.3,3.7,,3.9,3.7,4.2,,,8,8,8,,,,,,,,,,,,,,,,,14,13,15,,26,,,,9.1,,25,,,,93,,19,18,20,,1078,5167,21,20,22,,116814,588.5,,15,15,15,,,,,,,,,,,,,,,,,1079651,7,7,7,,16288,82,1219:1,,16052,82,1217:1,,56523,289,346:1,,4203,,,,,,,42,,,,,,,48,,,,,,,207863,82,,3619298,5306912,68,68,68,,393647,9574705,4.1,,19,18,19,,,,,,,138256,24105,5.7,,1392265,4089733,34,34,34,,15830,8.0,,74842,379,,48206,49,48,49,,,,,,,,,,,,,,,,,8.5,,,,24,24,24,,,,,,,,,,,53,53,53,,,,,,,,,,,,,,,,,9246571,38,38,38,
36001,New York,Albany,3307,5821,5512,6130,-0.62,,,,2101,1538,2803,9758,8696,10819,5396,4202,6590,5495,5139,5851,14,14,15,-0.39,3.3,3.2,3.5,-0.92,4.3,4.1,4.4,0.70,,8,8,8,1.07,,,,8,7,9,13,12,14,9,8,10,7,6,7,15,14,15,-0.52,27,25,30,-0.71,8.0,0.57,22,20,24,-0.91,92,-0.87,20,19,21,0.00,27,105,26,21,31,0.43,1877,606.2,1.23,11,10,12,-0.89,,,,4,3,6,28,25,31,25,21,28,6,5,6,10808,4,4,5,-1.05,311,100,996:1,-1.34,282,92,1089:1,-1.27,1094,356,281:1,-1.21,4274,-0.28,,1729,8061,5537,3795,46,0.01,,43,39,30,47,52,-0.72,46,54,36,46,54,3014,84,0.09,57470,74847,77,74,79,-1.78,5844,158835,3.7,-1.17,15,12,19,-0.50,10,8,36,40,8,128331,26572,4.8,0.21,21275,56350,38,35,40,0.58,455,14.7,-1.34,1074,348,0.90,715,46,43,50,-1.18,,,,17,10,27,41,33,51,29,19,42,51,47,55,9.1,0.49,Yes,0.99,16,15,16,15,14,16,1,1,1,1,0,1,-0.21,76,75,77,0.07,,,,64,59,69,58,54,61,60,54,66,84,83,85,156817,21,20,22,-1.20
36003,New York,Allegany,628,7283,6363,8203,0.77,,,,,,,,,,,,,,,,14,14,15,-0.30,3.7,3.5,3.9,0.40,4.3,4.1,4.5,0.84,,7,6,8,-0.31,,,,,,,,,,,,,,,,17,16,17,0.73,36,32,40,0.98,8.1,0.36,29,26,33,1.13,62,1.12,20,19,21,0.02,5,17,29,16,43,0.83,92,196.2,-0.86,14,13,16,-0.37,,,,,,,,,,,,,,,,2000,6,5,7,0.21,20,43,2345:1,0.61,15,32,3095:1,0.85,103,222,451:1,-0.06,5268,1.01,,,,,,50,-0.75,,,,,,47,0.68,,,25,,47,502,88,-0.57,5774,9409,61,58,65,0.17,1096,19461,5.6,1.62,23,16,29,0.92,,,,38,26,85765,20579,4.2,-0.58,3177,9385,34,29,38,0.04,74,15.8,-1.68,92,195,-0.21,128,54,45,64,-0.45,,,,,,,,,,,,,,,,8.5,-0.13,Yes,0.99,14,13,16,11,9,12,2,1,3,2,2,3,-0.46,76,74,77,0.06,,,,,,,,,,23,7,39,76,74,77,19556,29,27,31,-0.47
36005,New York,Bronx,15016,6696,6554,6838,0.21,,,,3200,2626,3774,8274,7980,8569,5515,5345,5684,8224,7648,8800,27,26,27,5.45,4.7,4.5,4.8,3.59,4.1,4.0,4.2,-0.13,,9,9,10,2.65,13,7,20,11,10,11,12,11,12,8,8,9,8,7,8,16,16,16,0.34,29,26,32,-0.38,7.7,1.21,31,29,34,1.69,100,-1.40,16,15,16,-2.68,31,200,16,12,19,-0.67,17711,1203.9,4.27,26,26,27,1.38,,,,7,5,9,22,21,23,31,30,32,10,9,11,110580,9,8,10,2.85,832,57,1768:1,0.14,729,51,1965:1,0.19,2945,206,486:1,0.08,5421,1.21,1644,3464,6050,6078,4377,33,2.49,23,29,33,33,36,38,3.20,26,51,33,35,45,14750,68,3.32,209243,408923,51,50,52,1.46,34319,605864,5.7,1.67,38,35,41,3.74,48,32,38,45,19,85934,12920,6.7,2.36,213053,354082,60,59,61,3.68,386,2.6,2.47,8486,586,2.64,3306,46,44,47,-1.25,,,,16,12,22,49,46,52,39,37,41,77,70,83,10.3,1.74,No,-0.99,39,38,40,31,30,31,12,12,13,1,1,1,3.96,23,23,24,-3.26,25,15,35,42,40,45,35,34,36,28,27,29,59,57,61,578100,53,51,55,1.64
36007,New York,Broome,2426,7415,6950,7880,0.89,,,,,,,11971,9636,14306,7677,5556,10340,7237,6738,7735,16,15,16,0.40,3.9,3.7,4.0,0.93,4.1,3.9,4.2,-0.24,,8,7,8,0.57,,,,9,7,12,13,12,15,7,6,9,7,7,8,16,15,16,0.09,28,25,31,-0.57,8.0,0.57,23,20,26,-0.63,89,-0.70,22,21,23,1.41,22,68,32,26,39,1.15,690,356.3,-0.05,16,15,17,-0.16,,,,,,,24,20,29,26,21,32,15,14,17,7961,5,5,6,-0.24,159,82,1218:1,-0.72,139,73,1379:1,-0.58,409,213,469:1,0.01,4163,-0.43,,579,7345,2112,4106,47,-0.18,,42,37,35,47,51,-0.44,,46,39,41,52,2205,83,0.37,27944,41549,67,65,70,-0.57,4115,84592,4.9,0.53,24,19,29,1.13,,30,51,37,17,100141,20165,5.0,0.37,13432,37147,36,33,39,0.35,226,11.7,-0.39,616,315,0.66,710,73,67,78,1.23,,,,,,,73,53,98,80,55,113,75,69,81,8.9,0.29,No,-0.99,16,14,17,14,13,15,1,1,2,1,1,1,-0.21,81,80,82,0.39,,,,60,48,72,60,53,68,65,56,74,84,83,85,85248,15,14,16,-1.75
36009,New York,Cattaraugus,1113,7255,6554,7956,0.74,12384,8229,17898,,,,,,,,,,7293,6541,8044,16,16,17,0.61,3.9,3.7,4.1,1.04,4.5,4.3,4.7,1.51,,8,7,9,0.95,5,3,8,,,,13,6,20,,,,8,7,9,17,16,17,0.85,38,34,42,1.31,8.1,0.36,27,24,30,0.38,63,1.07,19,18,20,-0.68,7,34,21,12,30,-0.12,211,272.8,-0.47,24,22,26,1.06,56,40,77,,,,41,26,62,26,15,43,22,20,24,3956,6,6,7,0.75,36,47,2149:1,0.48,34,44,2260:1,0.43,96,125,800:1,0.77,5371,1.15,4919,,18798,,5296,43,0.58,31,,,45,44,46,0.96,11,,38,38,47,1041,85,-0.02,9410,16792,56,53,59,0.84,1820,34020,5.3,1.22,24,19,29,1.23,35,14,64,27,20,89971,20233,4.4,-0.25,6109,17048,36,32,39,0.31,117,15.1,-1.48,153,197,-0.20,263,68,60,76,0.77,113,63,186,,,,,,,,,,69,60,77,9.3,0.70,Yes,0.99,15,13,16,12,10,13,2,2,3,2,2,2,-0.39,83,82,84,0.52,82,74,91,,,,,,,61,53,69,83,82,85,32863,27,25,28,-0.71
36011,New York,Cayuga,979,6466,5789,7143,-0.01,,,,,,,,,,,,,,,,14,14,15,-0.42,3.5,3.3,3.7,-0.32,4.0,3.8,4.2,-0.41,,6,6,7,-0.89,,,,,,,11,6,15,7,3,11,6,6,7,16,15,16,0.21,34,31,38,0.62,8.6,-0.71,25,22,28,-0.18,80,-0.04,21,20,22,0.49,10,40,25,17,34,0.35,255,328.6,-0.19,19,17,22,0.38,,,,,,,52,37,70,37,24,56,17,15,20,3030,5,4,6,-0.48,21,27,3695:1,1.14,37,48,2085:1,0.29,146,189,528:1,0.22,5932,1.88,,15145,2543,5086,5823,54,-1.51,,,50,69,54,55,-1.55,,42,42,51,56,762,83,0.35,11010,18657,59,55,63,0.47,1610,35954,4.5,-0.03,18,12,23,-0.07,,,25,17,14,105036,25548,4.1,-0.64,5920,15185,39,35,43,0.75,79,10.2,0.09,190,241,0.12,236,61,53,68,0.11,,,,,,,66,34,115,,,,62,54,70,8.3,-0.33,No,-0.99,12,11,14,11,10,12,1,1,2,1,1,1,-0.78,84,82,85,0.57,,,,,,,53,40,65,51,36,65,83,82,85,35534,33,31,35,-0.16
36013,New York,Chautauqua,1904,7996,7404,8588,1.44,,,,,,,11116,7743,15459,9666,7577,12154,7828,7194,8461,18,17,19,1.37,4.1,3.9,4.3,1.59,4.5,4.3,4.7,1.54,,7,7,8,0.32,,,,,,,11,7,16,9,7,11,7,7,8,17,16,18,1.07,33,31,36,0.49,7.8,1.00,28,25,30,0.63,80,-0.06,19,18,20,-0.56,14,53,26,19,34,0.51,549,425.4,0.30,26,24,27,1.29,,,,,,,24,17,34,55,47,63,22,21,24,5236,5,5,6,-0.29,69,53,1870:1,0.25,73,57,1753:1,-0.03,212,166,603:1,0.42,3728,-1.00,,,7840,6550,3511,46,0.01,,,44,49,46,51,-0.44,10,38,35,46,52,1521,83,0.27,16611,28697,58,55,61,0.61,2766,54993,5.0,0.76,27,21,33,1.72,,,67,51,23,88948,18667,4.8,0.13,9823,26374,37,34,41,0.51,221,17.1,-2.11,356,271,0.34,459,71,64,77,1.04,,,,,,,55,26,101,79,56,108,70,64,77,9.6,1.01,Yes,0.99,16,15,17,14,13,15,2,1,2,2,1,2,-0.15,81,80,82,0.40,,,,,,,63,53,74,66,58,74,82,81,84,54603,19,17,20,-1.42
36015,New York,Chemung,1274,7969,7263,8675,1.41,,,,,,,10430,7663,13869,,,,7924,7167,8681,15,14,15,-0.14,3.6,3.4,3.8,0.01,4.1,3.9,4.3,0.03,,7,7,8,0.01,,,,,,,11,8,14,11,7,15,7,6,8,17,16,17,0.88,36,32,41,1.00,7.8,1.00,28,25,32,0.82,83,-0.23,21,20,22,0.59,2,33,6,1,16,-1.69,274,320.3,-0.23,31,28,33,2.02,,,,,,,48,38,60,44,30,62,29,26,31,2761,4,3,5,-1.24,65,76,1316:1,-0.52,49,58,1719:1,-0.07,243,288,347:1,-0.63,5214,0.94,,,5957,7965,5152,53,-1.32,,65,52,61,53,52,-0.72,,58,43,52,52,904,76,1.74,12366,20673,60,56,64,0.36,1649,35373,4.7,0.24,20,14,26,0.39,,,36,23,19,101540,21774,4.7,0.01,6864,18294,38,33,42,0.54,96,11.2,-0.24,169,193,-0.23,333,77,69,86,1.64,,,,,,,76,49,113,,,,79,70,88,8.3,-0.33,No,-0.99,14,13,15,13,11,14,1,1,1,1,1,1,-0.50,83,82,84,0.52,,,,,,,70,54,87,59,48,70,84,83,85,36614,19,17,21,-1.37
36017,New York,Chenango,721,7863,6891,8835,1.31,,,,,,,,,,,,,,,,15,14,15,-0.15,3.7,3.5,3.9,0.39,4.4,4.2,4.6,1.12,,6,6,7,-0.97,,,,,,,,,,,,,,,,16,16,17,0.54,39,35,43,1.55,8.5,-0.49,24,21,28,-0.29,74,0.33,20,19,20,-0.34,3,23,13,4,25,-0.94,116,242.4,-0.63,25,22,28,1.17,,,,,,,,,,,,,,,,1933,5,4,6,-0.45,18,38,2659:1,0.78,17,36,2796:1,0.73,93,196,511:1,0.17,4060,-0.56,,,,,,45,0.20,,,,43,45,49,0.12,,,32,51,49,584,85,-0.07,5964,10487,57,53,61,0.74,1047,22416,4.7,0.25,22,17,28,0.83,,,,32,17,92417,21048,4.4,-0.31,3688,9987,37,31,43,0.46,53,11.1,-0.20,90,183,-0.30,136,56,47,66,-0.29,,,,,,,,,,,,,,,,8.2,-0.44,No,-0.99,14,12,16,11,10,13,2,1,3,1,1,2,-0.48,77,75,79,0.17,,,,,,,,,,,,,,,,21472,34,31,36,-0.06
