area_code,area_text
ST0100000000000,Alabama
ST0200000000000,Alaska
ST0400000000000,Arizona
ST0500000000000,Arkansas
ST0600000000000,California
ST0800000000000,Colorado
ST0900000000000,Connecticut
ST1000000000000,Delaware
ST1100000000000,District of Columbia
ST1200000000000,Florida
ST1300000000000,Georgia
ST1500000000000,Hawaii
ST1600000000000,Idaho
ST1700000000000,Illinois
ST1800000000000,Indiana
ST1900000000000,Iowa
ST2000000000000,Kansas
ST2100000000000,Kentucky
ST2200000000000,Louisiana
ST2300000000000,Maine
ST2400000000000,Maryland
ST2500000000000,Massachusetts
ST2600000000000,Michigan
ST2700000000000,Minnesota
ST2800000000000,Mississippi
ST2900000000000,Missouri
ST3000000000000,Montana
ST3100000000000,Nebraska
ST3200000000000,Nevada
ST3300000000000,New Hampshire
ST3400000000000,New Jersey
ST3500000000000,New Mexico
ST3600000000000,New York
ST3700000000000,North Carolina
ST3800000000000,North Dakota
ST3900000000000,Ohio
ST4000000000000,Oklahoma
ST4100000000000,Oregon
ST4200000000000,Pennsylvania
ST4400000000000,Rhode Island
ST4500000000000,South Carolina
ST4600000000000,South Dakota
ST4700000000000,Tennessee
ST4800000000000,Texas
ST4900000000000,Utah
ST5000000000000,Vermont
ST5100000000000,Virginia
ST5300000000000,Washington
ST5400000000000,West Virginia
ST5500000000000,Wisconsin
ST5600000000000,Wyoming
