County,date,deaths,cases,Region,Color
New York State,2020-03-03T00:00:00Z,0,2,New York State,#7a7a7a
New York State,2020-03-04T00:00:00Z,0,11,New York State,#7a7a7a
Westchester,2020-03-04T00:00:00Z,0,10,Mid-Hudson,#91bdf0
New York State,2020-03-05T00:00:00Z,0,23,New York State,#7a7a7a
New York,2020-03-05T00:00:00Z,0,4,New York City,#c8ff00
Westchester,2020-03-05T00:00:00Z,0,18,Mid-Hudson,#91bdf0
New York State,2020-03-06T00:00:00Z,0,31,New York State,#7a7a7a
New York,2020-03-06T00:00:00Z,0,11,New York City,#c8ff00
Westchester,2020-03-06T00:00:00Z,0,19,Mid-Hudson,#91bdf0
New York State,2020-03-07T00:00:00Z,0,76,New York State,#7a7a7a
Nassau,2020-03-07T00:00:00Z,0,4,Long Island,#ff64a5
New York,2020-03-07T00:00:00Z,0,11,New York City,#c8ff00
Rockland,2020-03-07T00:00:00Z,0,2,Mid-Hudson,#91bdf0
Saratoga,2020-03-07T00:00:00Z,0,2,Capital,#00ffff
Westchester,2020-03-07T00:00:00Z,0,57,Mid-Hudson,#91bdf0
New York State,2020-03-08T00:00:00Z,0,106,New York State,#7a7a7a
Nassau,2020-03-08T00:00:00Z,0,5,Long Island,#ff64a5
New York,2020-03-08T00:00:00Z,0,12,New York City,#c8ff00
Rockland,2020-03-08T00:00:00Z,0,2,Mid-Hudson,#91bdf0
Saratoga,2020-03-08T00:00:00Z,0,2,Capital,#00ffff
Westchester,2020-03-08T00:00:00Z,0,83,Mid-Hudson,#91bdf0
New York State,2020-03-09T00:00:00Z,0,142,New York State,#7a7a7a
Nassau,2020-03-09T00:00:00Z,0,17,Long Island,#ff64a5
New York,2020-03-09T00:00:00Z,0,19,New York City,#c8ff00
Rockland,2020-03-09T00:00:00Z,0,4,Mid-Hudson,#91bdf0
Saratoga,2020-03-09T00:00:00Z,0,2,Capital,#00ffff
Westchester,2020-03-09T00:00:00Z,0,98,Mid-Hudson,#91bdf0
New York State,2020-03-10T00:00:00Z,0,150,New York State,#7a7a7a
Nassau,2020-03-10T00:00:00Z,0,19,Long Island,#ff64a5
New York,2020-03-10T00:00:00Z,0,25,New York City,#c8ff00
Rockland,2020-03-10T00:00:00Z,0,4,Mid-Hudson,#91bdf0
Saratoga,2020-03-10T00:00:00Z,0,2,Capital,#00ffff
Westchester,2020-03-10T00:00:00Z,0,98,Mid-Hudson,#91bdf0
New York State,2020-03-11T00:00:00Z,0,220,New York State,#7a7a7a
Nassau,2020-03-11T00:00:00Z,0,28,Long Island,#ff64a5
New York,2020-03-11T00:00:00Z,0,55,New York City,#c8ff00
Rockland,2020-03-11T00:00:00Z,0,6,Mid-Hudson,#91bdf0
Saratoga,2020-03-11T00:00:00Z,0,2,Capital,#00ffff
Suffolk,2020-03-11T00:00:00Z,0,6,Long Island,#ff64a5
Ulster,2020-03-11T00:00:00Z,0,2,Mid-Hudson,#91bdf0
Westchester,2020-03-11T00:00:00Z,0,121,Mid-Hudson,#91bdf0
New York State,2020-03-12T00:00:00Z,0,327,New York State,#7a7a7a
Albany,2020-03-12T00:00:00Z,0,2,Capital,#00ffff
Monroe,2020-03-12T00:00:00Z,0,2,Finger Lakes,#b4ffaa
Nassau,2020-03-12T00:00:00Z,0,41,Long Island,#ff64a5
New York,2020-03-12T00:00:00Z,0,95,New York City,#c8ff00
Orange,2020-03-12T00:00:00Z,0,2,Mid-Hudson,#91bdf0
Rockland,2020-03-12T00:00:00Z,0,7,Mid-Hudson,#91bdf0
Saratoga,2020-03-12T00:00:00Z,0,3,Capital,#00ffff
