COUNTY,RATE
Nassau,3.7
Queens,3.7
Tompkins,3.7
New York,3.8
Rockland,3.8
Saratoga,3.8
Albany,3.9
Columbia,4.0
Dutchess,4.0
Richmond,4.0
Westchester,4.1
Putnam,4.2
Schenectady,4.2
Suffolk,4.2
Ulster,4.2
Orange,4.3
Rensselaer,4.3
Kings,4.4
Onondaga,4.5
Monroe,4.6
Ontario,4.8
Chemung,4.9
Oneida,4.9
Erie,5.0
Sullivan,5.0
Livingston,5.1
Seneca,5.1
Washington,5.1
Genesee,5.2
Greene,5.2
Wayne,5.2
Yates,5.2
Tioga,5.3
Cayuga,5.4
Otsego,5.4
Clinton,5.5
Broome,5.6
Madison,5.6
Orleans,5.6
Steuben,5.6
Bronx,5.7
Delaware,5.7
Chenango,5.8
Warren,5.9
Cortland,6.0
Schoharie,6.0
Chautauqua,6.1
Franklin,6.1
Fulton,6.1
Niagara,6.1
Herkimer,6.2
Oswego,6.4
Wyoming,6.4
Essex,6.5
Montgomery,6.5
Allegany,6.6
Cattaraugus,6.6
St. Lawrence,6.6
Schuyler,6.7
Jefferson,7.5
Lewis,7.9
Hamilton,9.6
