County,Plan Name,Roster Enrollment,Roster Enrollment,Roster Enrollment,Enrollment,,,
Albany,TOTALS:,3225,829,3467,36590,44111,,
Mandatory,Capital District Physicians Health Plan,2057,481,2222,20631,25391,,
Eff.Oct1997,Fidelis Care,814,245,877,12097,14033,,
,MVP Health Plan,192,37,136,2214,2579,,
,United Healthcare Plan of NY,65,22,71,654,812,,
,Wellcare of New York,97,44,161,994,1296,,
Allegany,TOTALS:,600,217,598,6594,8009,,
Mandatory,Fidelis Care,284,103,222,3477,4086,,
Eff.Feb2007,HealthNow,123,45,204,1172,1544,,
,YourCare Health Plan,193,69,172,1945,2379,,
Broome,TOTALS:,3607,1881,3285,25867,34640,,
Mandatory,Capital District Physicians Health Plan,122,39,101,970,1232,,
Eff.May1998,Excellus Health Plan,2209,1143,2160,15012,20524,,
,Fidelis Care,906,519,802,7555,9782,,
,Molina Healthcare,4,3,7,40,54,,
,United Healthcare Plan of NY,332,161,204,2132,2829,,
,Wellcare of New York,34,16,11,158,219,,
Cattaraugus,TOTALS:,983,417,972,12097,14469,,
Mandatory,Fidelis Care,626,248,440,7171,8485,,
Eff.Sep2001,HealthNow,150,80,347,1827,2404,,
,YourCare Health Plan,207,89,185,3099,3580,,
Cayuga,TOTALS:,1152,348,719,10186,12405,,
Mandatory,Fidelis Care,931,280,591,8760,10562,,
Eff.Oct2010,United Healthcare Plan of NY,221,68,128,1426,1843,,
Chautauqua,TOTALS:,3020,1174,1932,20060,26186,,
Mandatory,Fidelis Care,2634,973,1415,16277,21299,,
Eff.Sep2001,HealthNow,230,124,374,1869,2597,,
,United Healthcare Plan of NY,50,18,30,509,607,,
,YourCare Health Plan,106,59,113,1405,1683,,
Chemung,TOTALS:,1034,291,1176,12447,14948,,
Mandatory,Fidelis Care,926,262,1021,10987,13196,,
Eff.Nov2012,United Healthcare Plan of NY,108,29,155,1460,1752,,
Chenango,TOTALS:,484,127,610,7929,9150,,
Mandatory,Fidelis Care,430,118,519,7290,8357,,
Eff.Dec2011,Molina Healthcare,,2,1,19,22,,
,United Healthcare Plan of NY,54,7,90,620,771,,
Clinton,TOTALS:,939,324,1048,9677,11988,,
Mandatory,Capital District Physicians Health Plan,11,5,12,288,316,,
Eff.Dec2011,Fidelis Care,880,300,944,8724,10848,,
,United Healthcare Plan of NY,48,19,92,665,824,,
Columbia,TOTALS:,643,218,566,7963,9390,,
Mandatory,Capital District Physicians Health Plan,285,95,313,2928,3621,,
Eff.Oct1997,Fidelis Care,310,108,230,4265,4913,,
,MVP Health Plan,33,11,11,483,538,,
,United Healthcare Plan of NY,15,4,12,287,318,,
Cortland,TOTALS:,733,268,478,6421,7900,,
Mandatory,Fidelis Care,611,226,388,5835,7060,,
Eff.May2007,Molina Healthcare,122,42,90,586,840,,
Delaware,TOTALS:,414,89,286,6383,7172,,
MandatoryEff.May2011,Fidelis Care,414,89,286,6383,7172,,
Dutchess,TOTALS:,1914,570,1924,32402,36810,,
Mandatory,Fidelis Care,709,254,763,16270,17996,,
Eff.Apr2007,MVP Health Plan,998,260,921,13311,15490,,
,United Healthcare Plan of NY,47,21,56,904,1028,,
,Wellcare of New York,160,35,184,1917,2296,,
Erie,TOTALS:,18602,7822,12600,130631,169655,,
Mandatory,Excellus Health Plan,237,139,114,2701,3191,,
Eff.May1998,Fidelis Care,5871,2610,3458,40768,52707,,
,HealthNow,1870,956,2115,16166,21107,,
,Independent Health Association,6129,2344,4012,42987,55472,,
,United Healthcare Plan of NY,520,151,222,2917,3810,,
,Wellcare of New York,600,277,286,5849,7012,,
,YourCare Health Plan,3375,1345,2393,19243,26356,,
Essex,TOTALS:,211,45,326,4530,5112,,
Mandatory,Capital District Physicians Health Plan,3,,6,151,160,,
Eff.Oct2010,Fidelis Care,197,43,297,4161,4698,,
,United Healthcare Plan of NY,11,2,23,218,254,,
Franklin,TOTALS:,783,260,532,6697,8272,,
Mandatory,Capital District Physicians Health Plan,10,4,6,133,153,,
Eff.May2011,Fidelis Care,750,239,493,6353,7835,,
,United Healthcare Plan of NY,23,17,33,211,284,,
Fulton,TOTALS:,205,29,753,10070,11057,,
Mandatory,Capital District Physicians Health Plan,13,7,119,1098,1237,,
Eff.Mar2007,Fidelis Care,191,20,624,8820,9655,,
,United Healthcare Plan of NY,1,2,10,152,165,,
Genesee,TOTALS:,457,143,400,7669,8669,,
Mandatory,Fidelis Care,204,64,152,3337,3757,,
Eff.Jan2004,HealthNow,22,19,17,739,797,,
,MVP Health Plan,218,55,214,3054,3541,,
,United Healthcare Plan of NY,13,5,17,539,574,,
Greene,TOTALS:,471,144,543,6700,7858,,
Mandatory,Capital District Physicians Health Plan,220,52,254,2416,2942,,
Eff.Oct1997,Fidelis Care,217,75,262,3643,4197,,
,MVP Health Plan,22,11,15,419,467,,
,United Healthcare Plan of NY,12,6,12,222,252,,
Hamilton,TOTALS:,17,4,27,520,568,,
MandatoryEff.Oct2010,Fidelis Care,17,4,27,520,568,,
Herkimer,TOTALS:,721,237,659,9686,11303,,
Mandatory,Excellus Health Plan,101,40,125,2146,2412,,
Eff.May2003,Fidelis Care,618,193,530,7540,8881,,
,United Healthcare Plan of NY,2,4,4,,10,,
Jefferson,TOTALS:,1548,766,1041,15072,18427,,
Mandatory,Fidelis Care,197,129,157,3195,3678,,
Eff.Oct2012,MVP Health Plan,94,36,42,1438,1610,,
,United Healthcare Plan of NY,1257,601,842,10439,13139,,
Lewis,TOTALS:,159,44,195,3904,4302,,
Mandatory,Fidelis Care,111,20,125,2392,2648,,
Eff.Oct2012,MVP Health Plan,4,7,6,397,414,,
,United Healthcare Plan of NY,44,17,64,1115,1240,,
Livingston,TOTALS:,844,287,501,6462,8094,,
Mandatory,Excellus Health Plan,475,146,318,3563,4502,,
Eff.Apr2002,Fidelis Care,179,73,65,1556,1873,,
,MVP Health Plan,155,60,110,1105,1430,,
,United Healthcare Plan of NY,35,8,8,238,289,,
Madison,TOTALS:,511,165,480,8412,9568,,
Mandatory,Fidelis Care,436,138,381,7162,8117,,
Eff.Oct2010,United Healthcare Plan of NY,75,27,99,1250,1451,,
Monroe,TOTALS:,14519,6353,11092,103826,135790,,
Mandatory,Excellus Health Plan,10833,4475,7639,72264,95211,,
Eff.Mar1998,Fidelis Care,1179,728,1260,12099,15266,,
,MVP Health Plan,1997,850,1652,12398,16897,,
,United Healthcare Plan of NY,371,214,388,5120,6093,,
,YourCare Health Plan,139,86,153,1945,2323,,
Montgomery,TOTALS:,803,317,784,9407,11311,,
Mandatory,Capital District Physicians Health Plan,96,68,198,1802,2164,,
Eff.Apr2007,Fidelis Care,707,249,586,7605,9147,,
Nassau,TOTALS:,4143,2616,7177,150212,164148,,
Mandatory,Affinity Health Plan,355,305,473,10375,11508,,
Eff.June2001,Fidelis Care,1213,665,1878,42881,46637,,
,HealthFirst PHSP,894,539,1691,37592,40716,,
,HealthPlus,440,266,832,17745,19283,,
,HIP of Greater New York,426,330,886,10786,12428,,
,United Healthcare Plan of NY,734,472,1293,27787,30286,,
,VNS Choice SN,,,2,1,3,,
,Wellcare of New York,81,39,122,3045,3287,,
Niagara,TOTALS:,2895,1340,2494,30565,37294,,
Mandatory,Fidelis Care,2467,1094,1984,24084,29629,,
Eff.Sep1998,HealthNow,157,101,179,3316,3753,,
,United Healthcare Plan of NY,168,92,208,2215,2683,,
,Wellcare of New York,103,53,123,950,1229,,
Oneida,TOTALS:,4829,2541,3384,37547,48301,,
Mandatory,Excellus Health Plan,605,382,596,6962,8545,,
Eff.Sep2001,Fidelis Care,3827,1956,2476,27838,36097,,
,MVP Health Plan,92,70,42,931,1135,,
,United Healthcare Plan of NY,305,133,270,1816,2524,,
Onondaga,TOTALS:,9630,4053,6544,63337,83564,,
Mandatory,Excellus Health Plan,167,68,79,2875,3189,,
Eff.Nov1998,Fidelis Care,4378,1578,2881,36262,45099,,
,Molina Healthcare,3121,1670,2370,14285,21446,,
,United Healthcare Plan of NY,1964,737,1214,9915,13830,,
Ontario,TOTALS:,1084,372,861,11790,14107,,
Mandatory,Excellus Health Plan,915,287,713,8937,10852,,
Eff.Mar1998,Fidelis Care,83,56,61,1567,1767,,
,MVP Health Plan,49,14,72,791,926,,
,United Healthcare Plan of NY,31,11,12,355,409,,O
,YourCare Health Plan,6,4,3,140,153,,
Orange,TOTALS:,2892,1177,3143,71753,78965,,
Mandatory,Affinity Health Plan,676,340,750,12163,13929,,
Eff.Mar2007,Fidelis Care,774,237,948,37244,39203,,
,HealthFirst PHSP,50,21,44,1577,1692,,
,MVP Health Plan,1180,473,1118,16397,19168,,
